"month(cout)","year(cout)","book","cassette","dvd"
1,2006,103,44,0
2,2006,91,32,0
3,2006,89,60,0
4,2006,61,29,0
5,2006,96,31,0
6,2006,109,21,0
7,2006,69,40,0
8,2006,72,32,0
9,2006,53,23,0
10,2006,83,19,0
11,2006,71,16,0
12,2006,28,10,0
1,2007,43,16,0
2,2007,45,22,0
3,2007,63,11,0
4,2007,76,16,0
5,2007,51,11,0
6,2007,59,29,0
7,2007,60,17,0
8,2007,60,7,0
9,2007,53,13,0
10,2007,58,13,0
11,2007,68,25,0
12,2007,55,8,0
1,2008,80,19,0
2,2008,83,10,0
3,2008,73,18,0
4,2008,66,21,0
5,2008,46,14,0
6,2008,81,8,0
7,2008,42,15,0
8,2008,67,16,0
9,2008,62,11,0
10,2008,48,14,0
11,2008,63,8,0
12,2008,34,6,0
1,2009,63,3,0
2,2009,44,12,0
3,2009,64,12,0
4,2009,65,13,0
5,2009,60,14,0
6,2009,73,8,0
7,2009,62,5,0
8,2009,49,3,0
9,2009,67,1,0
10,2009,82,6,0
11,2009,56,5,0
12,2009,55,2,0
1,2010,67,1,0
2,2010,52,2,0
3,2010,49,3,0
4,2010,68,0,0
5,2010,79,3,0
6,2010,98,0,0
7,2010,77,2,0
8,2010,62,1,0
9,2010,63,1,0
10,2010,65,2,0
11,2010,56,0,0
12,2010,51,4,0
1,2011,71,2,0
2,2011,59,0,0
3,2011,53,3,0
4,2011,59,3,0
5,2011,41,0,0
6,2011,65,3,0
7,2011,37,1,0
8,2011,36,0,0
9,2011,36,0,0
10,2011,41,1,0
11,2011,32,0,0
12,2011,28,0,0
1,2012,42,0,0
2,2012,24,0,0
3,2012,36,0,0
4,2012,37,0,0
5,2012,28,0,0
6,2012,42,0,0
7,2012,41,0,0
8,2012,25,0,0
9,2012,38,0,0
10,2012,38,0,0
11,2012,26,0,0
12,2012,24,0,0
1,2013,31,0,0
2,2013,18,0,0
3,2013,28,0,0
4,2013,32,0,0
5,2013,23,0,0
6,2013,34,0,0
7,2013,30,0,0
8,2013,34,0,0
9,2013,28,0,0
10,2013,22,0,0
11,2013,28,0,0
12,2013,9,0,0
