"month(cout)","year(cout)","book","cassette","dvd"
1,2006,437,213,0
2,2006,406,179,0
3,2006,400,218,0
4,2006,280,128,0
5,2006,346,162,0
6,2006,396,183,0
7,2006,375,169,0
8,2006,393,163,0
9,2006,346,138,0
10,2006,399,104,0
11,2006,271,75,0
12,2006,182,69,0
1,2007,240,75,0
2,2007,283,96,0
3,2007,368,79,0
4,2007,370,84,0
5,2007,272,68,0
6,2007,315,105,0
7,2007,401,71,0
8,2007,353,84,0
9,2007,327,80,0
10,2007,324,64,0
11,2007,349,73,0
12,2007,276,70,0
1,2008,343,86,0
2,2008,341,80,0
3,2008,345,79,0
4,2008,321,75,0
5,2008,272,30,0
6,2008,324,40,0
7,2008,302,48,0
8,2008,327,58,0
9,2008,299,45,0
10,2008,346,35,0
11,2008,313,31,0
12,2008,191,23,0
1,2009,298,29,0
2,2009,269,32,0
3,2009,470,33,0
4,2009,509,36,0
5,2009,418,29,0
6,2009,510,26,106
7,2009,494,25,118
8,2009,498,25,117
9,2009,390,20,80
10,2009,433,21,104
11,2009,409,14,69
12,2009,375,11,67
1,2010,475,17,114
2,2010,391,15,72
3,2010,532,15,78
4,2010,551,6,77
5,2010,483,17,87
6,2010,559,3,73
7,2010,551,13,65
8,2010,479,3,83
9,2010,392,7,58
10,2010,480,7,53
11,2010,366,4,54
12,2010,381,10,61
1,2011,536,3,65
2,2011,411,0,82
3,2011,475,6,63
4,2011,441,7,92
5,2011,346,6,66
6,2011,385,8,56
7,2011,345,2,58
8,2011,267,1,41
9,2011,242,0,36
10,2011,321,4,43
11,2011,272,0,43
12,2011,203,1,31
1,2012,300,1,52
2,2012,268,2,41
3,2012,286,1,38
4,2012,274,0,37
5,2012,228,0,28
6,2012,243,0,41
7,2012,281,0,39
8,2012,200,0,26
9,2012,249,0,35
10,2012,231,0,32
11,2012,190,0,27
12,2012,174,0,24
1,2013,231,0,38
2,2013,208,0,36
3,2013,261,0,33
4,2013,245,0,21
5,2013,186,0,16
6,2013,221,0,21
7,2013,233,0,33
8,2013,230,0,14
9,2013,219,0,29
10,2013,192,0,32
11,2013,161,0,38
12,2013,45,0,6
